tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,pos_possibility,neg_possibility,neu_possibility,state,gender,age,count_retweet,count_like,count_reply,original_status_id
covid-vaccine-australia,Pc_Free_Zone, https://twitter.com/Pc_Free_Zone,2020-11-24 19:46:13,https://twitter.com/i/web/status/1331172262326669312,"Hey QANTAS,  Bunnings, Coles and Woolworths survived a pandemic with ZERO deaths ya cunts, without a Covid Vaccine and guess what? Fuck you!  IIRC our supermarkets served over 60 million customers for no COVID deaths.  *And send, to QANTAS. Best email since Dan’s Office one",negative,0.04505,0.9099,0.04505,Queensland,Female,(38-43),0,0,0,1331158446775754752
covid-vaccine-australia,jazmasigan_2, https://twitter.com/jazmasigan_2,2020-11-24 11:15:37,https://twitter.com/i/web/status/1331043764345815041,"RT @AFP: International air travellers will need to be vaccinated against Covid-19 to fly with Australia's Qantas, the airline's CEO has sai…",neutral,0.04844,0.43586,0.5157,South Australia,Male,(38-43),0,0,0,1331039450793713665
covid-vaccine-australia,kary_cee, https://twitter.com/kary_cee,2020-11-25 09:55:28,https://twitter.com/i/web/status/1331385982990516224,"@johnjamesrando @jucjan @shellity Looking at a situation like the US, if you balance the risk of getting Covid and its consequences vs the risk of a vaccine that has not seen long periods of testing - it makes sense to opt for the vaccine I think.  In Australia, given how we've contained it, it can wait a bit.",neutral,0.1163,0.08826,0.79544,,Female,(25-32),0,1,0,1331355714141360128
covid-vaccine-australia,sinmerchant, https://twitter.com/sinmerchant,2020-11-25 11:22:06,https://twitter.com/i/web/status/1331407781727911936,"OK folks, let’s get something straight. COVID vaccines aren’t being recklessly “rushed” through development. We’re seeing what’s possible when research is properly funded and scientists are unshackled from the usual barriers to progress.",positive,0.908,0.0072,0.0848,South Australia,Female,(38-43),0,0,0,1331332016512536577
covid-vaccine-australia,Aus_RichAlex, https://twitter.com/Aus_RichAlex,2020-11-24 11:20:04,https://twitter.com/i/web/status/1331044882236928000,"Important context for future course of the COVID-19 pandemic.  Outbreaks may continue for years around the world, even after the majority of people are vaccinated, due to unvaccinated populations.  Even if vaccines are 90% effective.  Measles is an example. https://t.co/XczeocDvWg",neutral,0.14256,0.16401,0.69343,Tasmania,Female,(25-32),0,0,0,
covid-vaccine-australia,Aus_RichAlex, https://twitter.com/Aus_RichAlex,2020-11-24 11:20:14,https://twitter.com/i/web/status/1331044926293909507,"RT @ForeignAffairs: The 1918 influenza outbreak was largely brought under control in cities by 1919, but it continued to spread in rural ar…",neutral,0.07842,0.13129,0.79028,Tasmania,Female,(25-32),0,0,0,1331042084690735104
covid-vaccine-australia,camwolfe, https://twitter.com/camwolfe,2020-11-24 22:32:47,https://twitter.com/i/web/status/1331214179588579328,"#COVID19 #Australia  Thoughts?  “Vaccination will be required to fly international, says Qantas chief”  Best piece of proactive public health a company could do, IMHO!!  🛩🛬🦠 https://t.co/eI6gfyj86Z",positive,0.85785,0.01729,0.12486,Victoria,Female,(60-100),0,25,0,
covid-vaccine-australia,AdamSpenceAU, https://twitter.com/AdamSpenceAU,2020-11-24 13:38:46,https://twitter.com/i/web/status/1331079790552436738,"Oxford-AstraZeneca COVID-19 vaccine result gives Australia pathway to 'normal', Government says https://t.co/rkrChZVw6U",positive,0.71567,0.02239,0.26194,ACT,Female,(38-43),0,0,0,1331050261079498754
covid-vaccine-australia,boobookittifukk, https://twitter.com/boobookittifukk,2020-11-24 20:43:18,https://twitter.com/i/web/status/1331186625917849601,"HA! Be prepared to issue refunds then cos Australia doesn't want your customers risking our health. If you haven't had the vaccine, you'll be in two weeks mandatory quarantine at your own expense. Stay out of our country. We've eliminated COVID-19. You're not bringing it back. https://t.co/dMHwIyqgBz",negative,0.00313,0.90826,0.08861,New South Wales,Male,(38-43),0,0,0,
covid-vaccine-australia,boobookittifukk, https://twitter.com/boobookittifukk,2020-11-24 22:02:35,https://twitter.com/i/web/status/1331206576120557568,"@RuthAcheson @StephenRoche100 @UKTwinds @Qantas Lol no one is holding you down and forcefully injecting a vaccine into you. If you don't want it, fine. It just means that you're not allowed to fly to Australia &amp; bring Covid into my country. And when this is all over, it probably means that you won't be able to fly ANYWHERE. 😁",negative,0.01428,0.64199,0.34373,New South Wales,Male,(38-43),0,0,0,1331203925060575233
