keyword,counts
enforce,615
schools,596
girls,581
enforced,575
“we,557
wearing”,553
decades,553
cover,535
saying,526
school,513
personal,507
practical,504
superintendent,500
ga,496
manda,491
way,479
choice,475
says,459
masks,453
police,438
government,433
fact,433
people,430
orders,418
stay-at-home,416
busin,416
literally,413
wearing,409
residents,408
kept,408
woman,408
walk,405
times,405
current,403
general,401
mandate,400
mask,399
despite,397
aged,395
skin,394
colour,393
never,391
needs,390
wearing',389
punishe,389
encouraged,388
ignore,388
kids,383
‘we,383
bras,381
wild,381
cops,381
control,377
material,376
sweden,376
asked,375
allow,375
going,374
valves,374
close,373
result,372
air,372
high,372
ugh,369
one-way,369
exhaled,369
hole,369
expelled,369
resp,369
10-12,369
issued,369
vents,368
young,367
vacationing,366
tahiti,366
cases,365
guidelines,365
seriously,363
videos,362
“when,361
wear,359
flagrant,358
covid-19,358
ama,357
customer,354
refusing,354
tend,352
remains,351
husband,351
evidence,346
murder,346
positive,346
open,345
force,344
might,343
th,341
wish,340
white,339
mom,339
suspend,337
