keyword,counts
practical,504
superintendent,496
manda,491
ga,484
personal,454
3000,450
except,441
choice,433
changed,424
ama,417
speech,408
harris',404
pres,403
listen,399
nsw,393
residents,393
flip-flopping,384
neigh,381
line,380
ran,378
says,377
directly,374
current,368
scientists,362
heroes,360
one-way,360
exhaled,360
hole,360
expelled,360
resp,360
encouraged,358
valves,357
year,357
sweater,356
sue,353
vents,349
guidelines,348
local,348
snacks,346
grandmother,343
miles,343
htt,340
tonight,337
impair,337
voting,337
prepare,334
woods,332
material,331
england,330
way,328
times,326
levels,326
covid-19,326
outside🙄,326
#maskupwa,323
champion,322
lunch,321
pga,318
lines,318
result,314
breaking,314
keeping,311
shopper,310
urging,310
possible,308
sanitizer,307
tiger,305
despite,305
nurkic,304
thin,304
family,304
bring,304
kamala,301
80-year-old,300
succumbed,300
heartbroken,300
shredded,300
coma,300
s—,300
aug,297
oxygen,296
immunity,296
24th,296
hi,295
folks,292
went,292
😷,292
much,291
democratic,289
kepa,289
blue,289
today,288
politely,287
remember,287
#nswpol,283
#vicpol,283
appears,282
1918,282
arbitrator,280
testimony,280
