keyword,created_at_local_time,screen_name,user_URL,tweet_URL,tweet_text,hashtag1,hashtag2
distance,2020-08-09 07:16:04,LynxEffect815,https://twitter.com/LynxEffect815,https://twitter.com/i/web/status/1292207975768174592,RT @ValaAfshar: A healthy list:  1 social distance 2 wear a mask in public 3 wash your hands 4 get more sleep 5 make time to exercise 6 dri…,,
distance,2020-08-11 06:54:57,paige__82,https://twitter.com/paige__82,https://twitter.com/i/web/status/1292927440025604096,"@9NewsAUS So wear masks! And wear a mask and social distance. I know some people can’t multitask but give it a try, mask and move, not that hard!",,
distance,2020-08-06 23:41:38,Dicky6427,https://twitter.com/Dicky6427,https://twitter.com/i/web/status/1291368841381949440,"@mpc_xetts @australian So, if you don't know anything about the power behind this world, then keep your simplicity and distance, wear a mask and gloves to stay away from danger.🤗",,
distance,2020-08-10 08:54:31,MIYUKI34422129,https://twitter.com/MIYUKI34422129,https://twitter.com/i/web/status/1292595139358015489,"We went to the restaurant yesterday. It's  popular in Takayama town. We had lunch safety. Because,it had social distance enough🎵 and 100% Japanese was wearing masks everywhere except having meal. It has opened since 1964. 1964…;-)❤️ @russellcrowe https://t.co/McTQDetALb",,
distance,2020-08-09 08:45:20,ibnkafka,https://twitter.com/ibnkafka,https://twitter.com/i/web/status/1292230440649207809,RT @AndreiaSaveSwe: People of 🇸🇪: let's unite &amp; show the 🌍 we take own responsibility and wear 😷 when it's hard to keep 2 mts distance. #Ma…,,
distance,2020-08-07 08:30:20,meganhswanson,https://twitter.com/meganhswanson,https://twitter.com/i/web/status/1291501889507516417,"RT @RepMaloney: New York’s work to #stopthespread is paying off. Please continue to wear a mask, social distance, and BE SMART. We are #NYS…",stopthespread,stopthespread
distance,2020-08-10 08:29:47,Peter_Shire,https://twitter.com/Peter_Shire,https://twitter.com/i/web/status/1292588916567093249,"@AaronBertrand Just in the last few weeks, I've noticed considerable improvement around me. Almost all shoppers wearing masks, keeping social distance and being friendly too.",,
distance,2020-08-11 07:17:57,Spin2Knit,https://twitter.com/Spin2Knit,https://twitter.com/i/web/status/1292933228190285824,"Masks should be part of school dress codes! If they can enforce dress codes, they can add mask wearing to that criteria! Pass it on.  #MasksSaveLives #Covid_19  #SocialDistance",Covid_19,SocialDistance
distance,2020-08-09 06:48:23,ValaAfshar,https://twitter.com/ValaAfshar,https://twitter.com/i/web/status/1292201011113795585,A healthy list:  1 social distance 2 wear a mask in public 3 wash your hands 4 get more sleep 5 make time to exercise 6 drink more water 7 eat less sugar 8 remove clutter 9 more random acts of kindness 10 do not respond to negativity 11 show gratitude 12 forgive first 13 be kind,,
distance,2020-08-08 08:30:08,YouthSolutions,https://twitter.com/YouthSolutions,https://twitter.com/i/web/status/1291864229792944128,Heading out this weekend? Keep safe by following the physical distancing guidelines. It's also recommended people wear a face mask in situations where it is difficult to physically distance. Here's a great demo on how to #wearamask effectively. #inthistogether #covid19 https://t.co/ZdRNCSXOcb,covid19,wearamask
thank,2020-08-11 08:52:47,AlbanyStatePrez,https://twitter.com/AlbanyStatePrez,https://twitter.com/i/web/status/1292957090571575297,Day 1 is done!  Thank you ASU Rams for wearing your mask.  How are you feeling??,,
thank,2020-08-09 08:59:11,MateMpn,https://twitter.com/MateMpn,https://twitter.com/i/web/status/1292233928212766721,Open your eyes everyone... The World has changed in a blink... We must change too... PLEASE WEAR A MASK! Thank you...  8-) ✌️🤞❤️☮️☯️⚕️🇦🇺,,
thank,2020-08-11 08:45:58,cookingtheresa,https://twitter.com/cookingtheresa,https://twitter.com/i/web/status/1292955377831575552,"RT @dabeard: Shaming won't work. I try gratitude.  Thank you, I say to every runner I pass wearing a mask. Thank you, I say to every bi…",,
thank,2020-08-10 07:27:12,LangurLover,https://twitter.com/LangurLover,https://twitter.com/i/web/status/1292573165533577216,Observation: my hubby and I were one of maybe 4 people wearing masks and I am thankful because so many people passed us at the beach who weren't wearing one!!!,,
thank,2020-08-06 08:31:40,Mysidehustlesa1,https://twitter.com/Mysidehustlesa1,https://twitter.com/i/web/status/1291139840562679809,RT @GovernorKayIvey: Thank you to all the businesses that are helping our state to mitigate the spread of #COVID19. Every citizen can do th…,COVID19,COVID19
thank,2020-08-06 08:25:42,MateoValverde__,https://twitter.com/MateoValverde__,https://twitter.com/i/web/status/1291138338989146114,RT @RealHughJackman: Thank you Thank you to all the #FirstResponders and #EssentialWorkers the world over. We’re enormously grateful for al…,EssentialWorkers,FirstResponders
thank,2020-08-09 09:00:39,Eden29854545,https://twitter.com/Eden29854545,https://twitter.com/i/web/status/1292234295201763328,"@SarahLhl @nosmokeed @charliekirk11 Sarah, thank you for that explanation  That's what I also know about masks, so, that's my reason for not wanting to wear one  These masks people put on their mouth and nose are as useful as putting a G-string over their face.  Ridiculous  But majority of people are li like sheep",,
thank,2020-08-07 07:55:30,softforjustin,https://twitter.com/softforjustin,https://twitter.com/i/web/status/1291493126100533248,"RT @Flawless_Bieb: can people just wear their masks and not put negative energy into the universe!!! im trying to enjoy 2021, THANK YOU!",,
thank,2020-08-08 08:17:32,MelisaB39884862,https://twitter.com/MelisaB39884862,https://twitter.com/i/web/status/1291861059905544192,"@SBSNews To all those following the health advice, including wearing a mask indoors &amp; when social distancing is not possible, thank you. You are helping us protect our most vulnerable people. We truly appreciate your sacrifices &amp; consideration. ❤😊",,
thank,2020-08-06 08:58:11,Shes_Salem,https://twitter.com/Shes_Salem,https://twitter.com/i/web/status/1291146511544246273,Wear a mask! Please and Thank You! https://t.co/w13AGM85wN,,
#covid19,2020-08-10 06:15:00,panoramateam,https://twitter.com/panoramateam,https://twitter.com/i/web/status/1292554995972202496,"Studies continue to prove that more mask wearing, together with #handwashing &amp; #socialdistancing, helps reduce the spread of #COVID19 in communities everywhere. Join the movement to help fight the pandemic - wear a face covering #WorldMaskWeek and beyond. @PandemicAction https://t.co/UXMCPTiILc",COVID19,WorldMaskWeek
#covid19,2020-08-11 07:00:01,panoramateam,https://twitter.com/panoramateam,https://twitter.com/i/web/status/1292928712791306240,Msging abt mask-wearing has bn inconsistent since the start of the #COVID19 outbreak. Leaders arnd the world can still turn the tide by adopting clear guidelines &amp; mandates on when to #WearAMask.   @PandemicAction offers evidence-based recs: https://t.co/5P5NdRT0Wv #WorldMaskWeek,COVID19,WorldMaskWeek
#covid19,2020-08-11 07:41:42,BitzaWolf,https://twitter.com/BitzaWolf,https://twitter.com/i/web/status/1292939203668398080,"RT @CDCgov: Masks can help prevent the spread of #COVID19 when they are widely used in public. When you wear a mask, you can help protect t…",COVID19,COVID19
#covid19,2020-08-11 09:00:00,hereconomynews,https://twitter.com/hereconomynews,https://twitter.com/i/web/status/1292958908483428352,Keeping safe when outside by wearing a @hereconomynews face mask. Being safe doesn't mean you can't be fashionable 😷💞 https://t.co/tUSNlXFoe6 #WearADamnMask #WearAMask #StayAtHome #COVID19Aus #COVID19Vic #WFH,COVID19Aus,WFH
#covid19,2020-08-10 07:16:37,EmiadeVictoria,https://twitter.com/EmiadeVictoria,https://twitter.com/i/web/status/1292570502553317381,"RT @NCDCgov: As we continue in the fight against #COVID19 this #WorldMaskWeek2020,  ✅#WearAMask in public  ✅Wear your mask properly ✅Practi…",COVID19,WorldMaskWeek2020
