tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,pos_possibility,neg_possibility,neu_possibility,state,gender,age,count_retweet,count_like,count_reply,original_status_id
wearing-mask-australia,MADinMelbourne, https://twitter.com/MADinMelbourne,2020-10-28 08:51:01,https://twitter.com/i/web/status/1321222899793940482,"RT @dissin: Colleague wants to meet, coffee in Melbourne CBD  Initial interest, but then realised I have to wear mask all day there  Fark t…",negative,0.0029,0.86953,0.12757,Victoria,Female,(38-43),0,0,0,1321217991212556288
wearing-mask-australia,MADinMelbourne, https://twitter.com/MADinMelbourne,2020-10-28 09:04:38,https://twitter.com/i/web/status/1321226326892638209,RT @honestyandhumor: Utter Bullshit! On what health advice @VictorianCHO ?  Mr Schleiger said Fitness Australia data in NSW ­revealed no c…,negative,0.00158,0.94761,0.05081,Victoria,Female,(38-43),0,0,0,1321225988890505216
wearing-mask-australia,413xmcg0, https://twitter.com/413xmcg0,2020-10-22 10:42:15,https://twitter.com/i/web/status/1319076566479953920,"RT @MagdaSzubanski: The volumetric attacks on Nyadol Nyuon, who is an African Australian activist, as well as Magda Szubanski in the wake…",neutral,0.09761,0.27893,0.62346,,Male,(48-53),0,0,0,1319029544376958976
wearing-mask-australia,paulwiggins, https://twitter.com/paulwiggins,2020-10-22 09:15:56,https://twitter.com/i/web/status/1319054844921958400,"RT @MagdaSzubanski: The volumetric attacks on Nyadol Nyuon, who is an African Australian activist, as well as Magda Szubanski in the wake…",neutral,0.09761,0.27893,0.62346,New South Wales,Male,(60-100),0,0,0,1319029544376958976
wearing-mask-australia,OskarOtterr, https://twitter.com/OskarOtterr,2020-10-23 19:31:27,https://twitter.com/i/web/status/1319572131710038019,@TheMightyOz77 @perthsteve @iconoclastia2 @MarkMcGowanMP @RogerCookMLA If someone doesn't wear their masks or precautions and they board that boat- that is when problems begin,negative,0.01075,0.76829,0.22096,Western Australia,Male,(4-6),0,7,0,1319571547665829890
wearing-mask-australia,OskarOtterr, https://twitter.com/OskarOtterr,2020-10-31 12:16:56,https://twitter.com/i/web/status/1322361886898151424,"@UcG_kilo @mcgT @PopCrave @EW Plain cloth masks don't offer much protection for the wearer, rather they're designed to capture droplets which would evaporate and become tiny aerosols, thus offering protection to those around you.",negative,0.04619,0.90763,0.04619,Western Australia,Male,(4-6),0,0,0,1322183510623334400
wearing-mask-australia,LeonieGSmith, https://twitter.com/LeonieGSmith,2020-10-22 09:06:21,https://twitter.com/i/web/status/1319052434237386753,"RT @MagdaSzubanski: The volumetric attacks on Nyadol Nyuon, who is an African Australian activist, as well as Magda Szubanski in the wake…",neutral,0.09761,0.27893,0.62346,,Male,(60-100),0,0,0,1319029544376958976
wearing-mask-australia,poovey_pamela, https://twitter.com/poovey_pamela,2020-11-02 08:42:44,https://twitter.com/i/web/status/1323032755840577536,"@ArkinBarkin @abcnews I don't think the two can happen at the same time sadly. One must be put on the back burner to save the other.  The only way that can happen is if ppl behave, wear masks etc. And it's been proven that there's a segment of the population who just won't.",negative,0.00418,0.85462,0.1412,,Male,(8-12),0,2,1,1323031841830416385
wearing-mask-australia,poovey_pamela, https://twitter.com/poovey_pamela,2020-11-02 08:56:58,https://twitter.com/i/web/status/1323036339596505089,"@ArkinBarkin @abcnews Absolutely not....if they won't wear a mask. I wish it could be done, I truly do. I wish ppl would just be bloody adults for a while",negative,0.00518,0.90465,0.09017,,Male,(8-12),0,1,0,1323036050101448704
wearing-mask-australia,ElaineM11584892, https://twitter.com/ElaineM11584892,2020-10-22 10:51:19,https://twitter.com/i/web/status/1319078850819616768,"RT @somuchbullsh: The volumetric attacks on Nyadol Nyuon, who is an African Australian activist, as well as Magda Szubanski in the wake of…",neutral,0.08703,0.28697,0.626,New South Wales,Female,(8-12),0,0,0,1319075856648556544
