keyword,counts
victorian,336
wide,330
sad,326
😢,326
report,326
hea,326
demand,314
psychologists,307
livelihoods,304
ur,300
abc,292
keep,287
death,283
services,277
“this,277
road,277
map,277
warrant,277
indeed,277
victori,277
41,277
businesses,274
depression,252
stop,239
cite,229
peer,229
approved,229
proof,229
asap,229
racism,229
#aussieracist,229
#racism,229
#indigenous,229
#aboriginals,229
#firstnations,229
news,222
needs,220
patients,220
men,220
sa,220
eds,220
relentless,220
attacks,220
#australia,209
#torresstraitislands,208
#southseaislands,208
worst,208
yes,208
metro,208
criminal,208
pile,208
guise,208
caring,208
government,202
system,192
leave,180
victorians,180
deaths,179
australia,177
recession,170
great,167
tonight,166
coming,161
last,161
police,161
vulnerable,161
political,161
something,161
morrison,161
worse,161
lost,161
focus,161
education,154
long,151
please,151
whole,139
fix,139
times,139
dangerous,139
accept,139
world,139
rather,139
utilise,139
ankle,139
monitors,139
innovative,139
technology,139
emotional,139
distress,139
entering,139
travel,139
pre-prepared,139
group,139
bizarre,139
playing,139
home,139
much,136
year,134
govt,134
andrews,134
