keyword,counts
grateful,361
644,350
engaged,350
released,350
thr,350
children,296
young,265
covid,249
touch,240
eat,220
active,220
stay,219
priority,208
needed,185
book,179
today,174
impact,170
people,168
tips,161
disability,161
vital,161
well,139
#gettingthroughthistogether,139
developed,139
collaboration,139
organisations,139
michael,139
kidd,139
teachers,139
wealth;,139
help,136
fight,134
remember,134
seek,126
physical,119
leading,111
areas,110
glad,110
helped,110
healt,110
thanks,101
aged,101
make,99
schools,92
future,92
work,83
find,82
#depression,82
thank,82
improve,79
serious,79
crucial,79
professionals,73
prof,72
investment,69
run,69
hoping,69
huge,69
finland,69
#covid19aus,69
hear,69
managing,69
walk,69
😌,69
recently,69
child,69
totally,69
riding,69
bike,69
maintain,69
difficult,69
write,69
move,69
pretty,69
dark,69
passage,69
covid-19,66
#covid19,65
support,62
way,62
care,60
education,54
research,47
⁦⁩,46
step,46
reason,46
agree,46
grief,46
know,43
good,43
given,41
great,40
available,35
australia,34
able,28
wellbeing,28
access,23
job,23
women,23
right,20
