keyword,created_at_local_time,screen_name,user_URL,tweet_URL,tweet_text,hashtag1,hashtag2
announcement,2020-08-07 22:49:40,ingioz,https://twitter.com/ingioz,https://twitter.com/i/web/status/1291718151323832323,"RT @LivingWorksAus: We welcome @ScottMorrisonMP announcement of  additional mental health support in Victoria, with funds for @headspace_au…",,
announcement,2020-08-06 12:36:21,LivingWorksAus,https://twitter.com/LivingWorksAus,https://twitter.com/i/web/status/1291201416745238528,"We welcome @ScottMorrisonMP announcement of  additional mental health support in Victoria, with funds for @headspace_aus @LifelineAust @KidsHelplineAU &amp; @beyondblue  Meanwhile, @LivingWorksAus continues to work with PHNs to support suicide 1st aid training https://t.co/X31ewuQqcL",,
announcement,2020-08-06 14:09:13,RTsatsis,https://twitter.com/RTsatsis,https://twitter.com/i/web/status/1291224787402989568,"RT @LivingWorksAus: We welcome @ScottMorrisonMP announcement of  additional mental health support in Victoria, with funds for @headspace_au…",,
announcement,2020-08-07 13:32:46,wangarattayouth,https://twitter.com/wangarattayouth,https://twitter.com/i/web/status/1291578001872654338,RT @orygen_aus: The impact of COVID-19 on young people is and will continue to be immense. Orygen welcomes yesterday's funding announcement…,,
announcement,2020-08-06 13:35:18,MarcBryantAus,https://twitter.com/MarcBryantAus,https://twitter.com/i/web/status/1291216250471714816,"RT @LivingWorksAus: We welcome @ScottMorrisonMP announcement of  additional mental health support in Victoria, with funds for @headspace_au…",,
announcement,2020-08-10 09:50:30,HappySadFilm,https://twitter.com/HappySadFilm,https://twitter.com/i/web/status/1292609231367966720,RT @orygen_aus: The impact of COVID-19 on young people is and will continue to be immense. Orygen welcomes yesterday's funding announcement…,,
announcement,2020-08-07 20:23:06,PatMcGorry,https://twitter.com/PatMcGorry,https://twitter.com/i/web/status/1291681264722776066,RT @orygen_aus: The impact of COVID-19 on young people is and will continue to be immense. Orygen welcomes yesterday's funding announcement…,,
announcement,2020-08-07 10:49:37,Dpeters1977,https://twitter.com/Dpeters1977,https://twitter.com/i/web/status/1291536943994429440,RT @orygen_aus: The impact of COVID-19 on young people is and will continue to be immense. Orygen welcomes yesterday's funding announcement…,,
announcement,2020-08-07 23:15:47,WittaTwitta,https://twitter.com/WittaTwitta,https://twitter.com/i/web/status/1291724722867077120,RT @orygen_aus: The impact of COVID-19 on young people is and will continue to be immense. Orygen welcomes yesterday's funding announcement…,,
announcement,2020-08-07 22:40:25,FatherBob,https://twitter.com/FatherBob,https://twitter.com/i/web/status/1291715823158079488,RT @orygen_aus: The impact of COVID-19 on young people is and will continue to be immense. Orygen welcomes yesterday's funding announcement…,,
app,2020-08-05 01:40:23,sreeura,https://twitter.com/sreeura,https://twitter.com/i/web/status/1290673947659231232,"RT @saschimiii: @zalisteggall furthermore, i’m more than happy to oblige with the rules and regulations in australia. i will pay for my qua…",,
app,2020-08-06 14:25:04,ausgov,https://twitter.com/ausgov,https://twitter.com/i/web/status/1291228773606502400,RT @healthgovau: The Essential Network is an app designed to help support the mental health and wellbeing of healthcare professionals. To l…,,
app,2020-08-06 19:31:10,nick_coatsworth,https://twitter.com/nick_coatsworth,https://twitter.com/i/web/status/1291305807598899201,RT @healthgovau: The Essential Network is an app designed to help support the mental health and wellbeing of healthcare professionals. To l…,,
app,2020-08-06 14:34:31,Ahpra,https://twitter.com/Ahpra,https://twitter.com/i/web/status/1291231152351526913,RT @healthgovau: The Essential Network is an app designed to help support the mental health and wellbeing of healthcare professionals. To l…,,
app,2020-08-06 12:35:27,QldAmbulance,https://twitter.com/QldAmbulance,https://twitter.com/i/web/status/1291201190076678144,RT @healthgovau: The Essential Network is an app designed to help support the mental health and wellbeing of healthcare professionals. To l…,,
app,2020-08-06 12:49:47,CareSearch,https://twitter.com/CareSearch,https://twitter.com/i/web/status/1291204796708524032,RT @healthgovau: The Essential Network is an app designed to help support the mental health and wellbeing of healthcare professionals. To l…,,
app,2020-08-06 14:43:26,VicDental,https://twitter.com/VicDental,https://twitter.com/i/web/status/1291233396086042626,RT @healthgovau: The Essential Network is an app designed to help support the mental health and wellbeing of healthcare professionals. To l…,,
app,2020-08-06 15:28:58,KarenLeahDwyer2,https://twitter.com/KarenLeahDwyer2,https://twitter.com/i/web/status/1291244854144405504,RT @healthgovau: The Essential Network is an app designed to help support the mental health and wellbeing of healthcare professionals. To l…,,
app,2020-08-09 20:59:24,PatsKarvelas,https://twitter.com/PatsKarvelas,https://twitter.com/i/web/status/1292415173903319040,This is a much better approach. Get the numbers out - deal with the anxiety. Publicly available #COVID19Vic #auspol https://t.co/DvO23uGO60,auspol,COVID19Vic
app,2020-08-06 19:39:21,RachelHager20,https://twitter.com/RachelHager20,https://twitter.com/i/web/status/1291307867501297666,RT @healthgovau: The Essential Network is an app designed to help support the mental health and wellbeing of healthcare professionals. To l…,,
joined,2020-08-06 12:18:56,7NewsCanberra,https://twitter.com/7NewsCanberra,https://twitter.com/i/web/status/1291197034171478016,"Prime Minister @ScottMorrisonMP today announced an additional $12 million in funding for mental health services, and was joined by @PeterDuttonMP with an announcement on cyber security. @olivialeeming #auspol #7NEWS https://t.co/pUGNjFqM47",7NEWS,auspol
joined,2020-08-06 12:18:56,7NewsMelbourne,https://twitter.com/7NewsMelbourne,https://twitter.com/i/web/status/1291197034142171136,"Prime Minister @ScottMorrisonMP today announced an additional $12 million in funding for mental health services, and was joined by @PeterDuttonMP with an announcement on cyber security. @olivialeeming #auspol #7NEWS https://t.co/HLAY8daA6Z",7NEWS,auspol
