date_str,positive,negative,neutral,daily_tweets_cnt,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,acc_tweets_cnt
2020-01-14,0,0,1,1,0.0,0.0,1.0,0,0,1,1
2020-01-15,0,0,3,3,0.0,0.0,1.0,0,0,4,4
2020-01-17,0,0,3,3,0.0,0.0,1.0,0,0,7,7
2020-02-18,2,0,0,2,1.0,0.0,0.0,2,0,7,9
2020-03-19,1,0,0,1,1.0,0.0,0.0,3,0,7,10
2020-03-30,3,0,0,3,1.0,0.0,0.0,6,0,7,13
2020-03-31,1,0,0,1,1.0,0.0,0.0,7,0,7,14
2020-04-04,1,0,0,1,1.0,0.0,0.0,8,0,7,15
2020-04-13,1,0,0,1,1.0,0.0,0.0,9,0,7,16
2020-04-15,6,0,0,6,1.0,0.0,0.0,15,0,7,22
2020-04-16,3,0,0,3,1.0,0.0,0.0,18,0,7,25
2020-04-18,1,0,0,1,1.0,0.0,0.0,19,0,7,26
2020-04-20,1,0,0,1,1.0,0.0,0.0,20,0,7,27
2020-04-23,1,0,0,1,1.0,0.0,0.0,21,0,7,28
2020-04-24,2,0,0,2,1.0,0.0,0.0,23,0,7,30
2020-04-25,1,0,0,1,1.0,0.0,0.0,24,0,7,31
2020-04-26,0,2,0,2,0.0,1.0,0.0,24,2,7,33
2020-05-01,1,0,0,1,1.0,0.0,0.0,25,2,7,34
2020-05-13,0,1,0,1,0.0,1.0,0.0,25,3,7,35
2020-05-15,4,0,0,4,1.0,0.0,0.0,29,3,7,39
2020-05-16,1,0,0,1,1.0,0.0,0.0,30,3,7,40
2020-05-17,2,0,0,2,1.0,0.0,0.0,32,3,7,42
2020-05-20,2,1,0,3,0.6667,0.3333,0.0,34,4,7,45
2020-05-25,5,0,10,15,0.3333,0.0,0.6667,39,4,17,60
2020-05-26,2,0,2,4,0.5,0.0,0.5,41,4,19,64
2020-05-27,5,0,0,5,1.0,0.0,0.0,46,4,19,69
2020-05-28,2,6,0,8,0.25,0.75,0.0,48,10,19,77
2020-06-09,2,0,0,2,1.0,0.0,0.0,50,10,19,79
2020-06-12,1,0,0,1,1.0,0.0,0.0,51,10,19,80
2020-06-15,0,0,3,3,0.0,0.0,1.0,51,10,22,83
2020-06-16,0,0,1,1,0.0,0.0,1.0,51,10,23,84
2020-06-17,0,0,1,1,0.0,0.0,1.0,51,10,24,85
2020-06-18,0,0,1,1,0.0,0.0,1.0,51,10,25,86
2020-06-19,0,1,1,2,0.0,0.5,0.5,51,11,26,88
2020-06-22,0,0,1,1,0.0,0.0,1.0,51,11,27,89
2020-06-24,6,0,1,7,0.8571,0.0,0.1429,57,11,28,96
2020-06-25,0,3,0,3,0.0,1.0,0.0,57,14,28,99
2020-06-26,0,1,0,1,0.0,1.0,0.0,57,15,28,100
2020-06-27,1,0,0,1,1.0,0.0,0.0,58,15,28,101
2020-06-28,7,0,0,7,1.0,0.0,0.0,65,15,28,108
2020-06-29,3,6,1,10,0.3,0.6,0.1,68,21,29,118
2020-06-30,19,30,1,50,0.38,0.6,0.02,87,51,30,168
2020-07-01,27,39,47,113,0.2389,0.3451,0.4159,114,90,77,281
2020-07-02,56,79,12,147,0.381,0.5374,0.0816,170,169,89,428
2020-07-03,66,42,17,125,0.528,0.336,0.136,236,211,106,553
2020-07-04,155,49,59,263,0.5894,0.1863,0.2243,391,260,165,816
2020-07-05,19,17,4,40,0.475,0.425,0.1,410,277,169,856
2020-07-06,44,75,49,168,0.2619,0.4464,0.2917,454,352,218,1024
2020-07-07,110,51,27,188,0.5851,0.2713,0.1436,564,403,245,1212
2020-07-08,48,66,34,148,0.3243,0.4459,0.2297,612,469,279,1360
2020-07-09,27,128,20,175,0.1543,0.7314,0.1143,639,597,299,1535
2020-07-10,68,45,12,125,0.544,0.36,0.096,707,642,311,1660
2020-07-11,9,53,17,79,0.1139,0.6709,0.2152,716,695,328,1739
2020-07-12,79,32,28,139,0.5683,0.2302,0.2014,795,727,356,1878
2020-07-13,61,56,14,131,0.4656,0.4275,0.1069,856,783,370,2009
2020-07-14,84,25,18,127,0.6614,0.1969,0.1417,940,808,388,2136
2020-07-15,45,161,95,301,0.1495,0.5349,0.3156,985,969,483,2437
2020-07-16,77,65,13,155,0.4968,0.4194,0.0839,1062,1034,496,2592
2020-07-17,105,39,8,152,0.6908,0.2566,0.0526,1167,1073,504,2744
2020-07-18,28,26,4,58,0.4828,0.4483,0.069,1195,1099,508,2802
2020-07-19,11,24,8,43,0.2558,0.5581,0.186,1206,1123,516,2845
2020-07-20,110,155,29,294,0.3741,0.5272,0.0986,1316,1278,545,3139
2020-07-21,43,776,27,846,0.0508,0.9173,0.0319,1359,2054,572,3985
2020-07-22,89,115,280,484,0.1839,0.2376,0.5785,1448,2169,852,4469
2020-07-23,36,38,16,90,0.4,0.4222,0.1778,1484,2207,868,4559
2020-07-24,69,167,8,244,0.2828,0.6844,0.0328,1553,2374,876,4803
2020-07-25,35,69,8,112,0.3125,0.6161,0.0714,1588,2443,884,4915
2020-07-26,16,427,10,453,0.0353,0.9426,0.0221,1604,2870,894,5368
2020-07-27,25,177,34,236,0.1059,0.75,0.1441,1629,3047,928,5604
2020-07-28,23,154,22,199,0.1156,0.7739,0.1106,1652,3201,950,5803
2020-07-29,88,216,44,348,0.2529,0.6207,0.1264,1740,3417,994,6151
2020-07-30,7,70,23,100,0.07,0.7,0.23,1747,3487,1017,6251
2020-07-31,15,22,29,66,0.2273,0.3333,0.4394,1762,3509,1046,6317
2020-08-01,16,59,17,92,0.1739,0.6413,0.1848,1778,3568,1063,6409
2020-08-02,70,378,41,489,0.1431,0.773,0.0838,1848,3946,1104,6898
2020-08-03,189,183,88,460,0.4109,0.3978,0.1913,2037,4129,1192,7358
2020-08-04,43,92,59,194,0.2216,0.4742,0.3041,2080,4221,1251,7552
