keyword,created_at_local_time,screen_name,user_URL,tweet_URL,tweet_text,hashtag1,hashtag2
show,2020-08-02 17:53:26,HapsariHeti,https://twitter.com/HapsariHeti,https://twitter.com/i/web/status/1289831661975134208,"RT @ruthryan: 9 weeks ago Denmark lifted its borders to sweethearts. Since then, 6 EU countries followed suit. The data shows that there ha…",,
show,2020-08-03 21:08:41,shanaynayyyyyy,https://twitter.com/shanaynayyyyyy,https://twitter.com/i/web/status/1290243186799984640,"RT @ruthryan: 9 weeks ago Denmark lifted its borders to sweethearts. Since then, 6 EU countries followed suit. The data shows that there ha…",,
show,2020-08-02 10:40:05,Sahanchan89,https://twitter.com/Sahanchan89,https://twitter.com/i/web/status/1289722603314089984,"RT @ruthryan: 9 weeks ago Denmark lifted its borders to sweethearts. Since then, 6 EU countries followed suit. The data shows that there ha…",,
show,2020-08-02 20:28:19,saschimiii,https://twitter.com/saschimiii,https://twitter.com/i/web/status/1289870639143124993,"RT @ruthryan: 9 weeks ago Denmark lifted its borders to sweethearts. Since then, 6 EU countries followed suit. The data shows that there ha…",,
show,2020-08-03 18:11:35,RobynRae1,https://twitter.com/RobynRae1,https://twitter.com/i/web/status/1290198617202888707,"RT @ruthryan: 9 weeks ago Denmark lifted its borders to sweethearts. Since then, 6 EU countries followed suit. The data shows that there ha…",,
lift,2020-08-02 17:53:26,HapsariHeti,https://twitter.com/HapsariHeti,https://twitter.com/i/web/status/1289831661975134208,"RT @ruthryan: 9 weeks ago Denmark lifted its borders to sweethearts. Since then, 6 EU countries followed suit. The data shows that there ha…",,
lift,2020-08-03 21:08:41,shanaynayyyyyy,https://twitter.com/shanaynayyyyyy,https://twitter.com/i/web/status/1290243186799984640,"RT @ruthryan: 9 weeks ago Denmark lifted its borders to sweethearts. Since then, 6 EU countries followed suit. The data shows that there ha…",,
lift,2020-08-02 10:40:05,Sahanchan89,https://twitter.com/Sahanchan89,https://twitter.com/i/web/status/1289722603314089984,"RT @ruthryan: 9 weeks ago Denmark lifted its borders to sweethearts. Since then, 6 EU countries followed suit. The data shows that there ha…",,
lift,2020-08-02 20:28:19,saschimiii,https://twitter.com/saschimiii,https://twitter.com/i/web/status/1289870639143124993,"RT @ruthryan: 9 weeks ago Denmark lifted its borders to sweethearts. Since then, 6 EU countries followed suit. The data shows that there ha…",,
lift,2020-08-03 18:11:35,RobynRae1,https://twitter.com/RobynRae1,https://twitter.com/i/web/status/1290198617202888707,"RT @ruthryan: 9 weeks ago Denmark lifted its borders to sweethearts. Since then, 6 EU countries followed suit. The data shows that there ha…",,
telehealth,2020-07-28 11:55:07,UQ_COH,https://twitter.com/UQ_COH,https://twitter.com/i/web/status/1287929547116048384,"RT @UQMedicine: Telehealth delivery of an Indigenous mental health program is being trialled by #UQ, so care is not disrupted by #Coronavir…",UQ,UQ
