keyword,created_at_local_time,screen_name,user_URL,tweet_URL,tweet_text,hashtag1,hashtag2
#afairgoforlove,2020-08-29 19:18:15,sreeura,https://twitter.com/sreeura,https://twitter.com/i/web/status/1299637477473361920,RT @lealovinglifea1: Mental health is as important as physical health! #AFairGoForLove #RemoveTheCap find ways to make reunions possible! @…,AFairGoForLove,RemoveTheCap
#afairgoforlove,2020-08-27 20:41:58,iamneetu,https://twitter.com/iamneetu,https://twitter.com/i/web/status/1298933772046327808,RT @lealovinglifea1: Mental health is as important as physical health! #AFairGoForLove #RemoveTheCap find ways to make reunions possible! @…,AFairGoForLove,RemoveTheCap
#afairgoforlove,2020-08-27 18:40:08,jagney007,https://twitter.com/jagney007,https://twitter.com/i/web/status/1298903110241280000,RT @lealovinglifea1: Mental health is as important as physical health! #AFairGoForLove #RemoveTheCap find ways to make reunions possible! @…,AFairGoForLove,RemoveTheCap
#afairgoforlove,2020-08-27 18:45:34,mekiran4u,https://twitter.com/mekiran4u,https://twitter.com/i/web/status/1298904478616154112,RT @lealovinglifea1: Mental health is as important as physical health! #AFairGoForLove #RemoveTheCap find ways to make reunions possible! @…,AFairGoForLove,RemoveTheCap
#afairgoforlove,2020-08-27 16:26:42,lealovinglifea1,https://twitter.com/lealovinglifea1,https://twitter.com/i/web/status/1298869528496091136,Mental health is as important as physical health! #AFairGoForLove #RemoveTheCap find ways to make reunions possible! @ScottMorrisonMP @GregHuntMP https://t.co/bJp6b7bQzO,AFairGoForLove,RemoveTheCap
#afairgoforlove,2020-08-27 16:27:42,autumn_daze00,https://twitter.com/autumn_daze00,https://twitter.com/i/web/status/1298869783568347136,RT @lealovinglifea1: Mental health is as important as physical health! #AFairGoForLove #RemoveTheCap find ways to make reunions possible! @…,AFairGoForLove,RemoveTheCap
#afairgoforlove,2020-08-27 18:07:27,almightypuja,https://twitter.com/almightypuja,https://twitter.com/i/web/status/1298894885689253888,RT @lealovinglifea1: Mental health is as important as physical health! #AFairGoForLove #RemoveTheCap find ways to make reunions possible! @…,AFairGoForLove,RemoveTheCap
#afairgoforlove,2020-08-27 16:38:46,Sahanchan89,https://twitter.com/Sahanchan89,https://twitter.com/i/web/status/1298872566296313857,RT @lealovinglifea1: Mental health is as important as physical health! #AFairGoForLove #RemoveTheCap find ways to make reunions possible! @…,AFairGoForLove,RemoveTheCap
#afairgoforlove,2020-08-27 16:30:32,nicola38381851,https://twitter.com/nicola38381851,https://twitter.com/i/web/status/1298870493257191424,RT @lealovinglifea1: Mental health is as important as physical health! #AFairGoForLove #RemoveTheCap find ways to make reunions possible! @…,AFairGoForLove,RemoveTheCap
covid,2020-09-01 15:41:04,tickertvau,https://twitter.com/tickertvau,https://twitter.com/i/web/status/1300669984272646146,"WITH all the stress around Covid this year, Aussie bush cook Ranger Nick is launching a fun Curry for Covid campaign to help boost family immune systems and mental health on Father’s Day!   #Australia #news #entertainment https://t.co/sVTle2swW3",Australia,news
