keyword,counts
41,277
away,220
sa,220
eds,220
relentless,220
attacks,220
depression,213
far,208
yes,208
patients,208
metro,208
criminal,208
pile,208
guise,208
caring,208
another,202
leave,198
minister,195
worst,195
government,192
men,180
victorians,180
morrison,179
tonight,166
greg,161
🔹dad,161
worse,161
cause,161
lost,161
recession,154
great,149
living,139
rough,139
🔹kids,139
🔹aren't,139
allowed,139
🔹lost,139
🔹live,139
covid,139
bullshit,139
livelihoods,139
rather,139
utilise,139
ankle,139
monitors,139
technology,139
emotional,139
entering,139
travel,139
pre-prepared,139
bizarre,139
playing,139
political,139
focus,134
economic,114
dad,114
going,113
even,111
come,111
andrews,111
innovative,111
group,111
long,111
system,111
watching,111
mention,110
ne,110
re-sharing,110
trans,110
jk,110
rowling,110
mark,110
latham,110
answer,110
virus,110
stimulus,110
decisions,110
making,110
scomo,110
austr,110
numbers,110
suicides/attempts,110
#liftthetravelban,110
repair,110
mum,110
exempted,110
fix,110
options,110
consultations,110
telehealth,110
omg,110
dou,110
made,110
josh,110
nothing,110
put,108
much,101
life,96
economy,92
distress,92
