keyword,counts
call,292
melb,256
established,256
000,246
pride,240
vic,238
danger,238
knowing,238
always,233
visit,229
felt,229
⁦⁩,229
suicide,224
cares,220
coronavirus,217
immediate,213
greater,213
regional,213
feeling,212
#aus,209
pand,208
answered,208
understands,208
#domestisticviolence,208
safety,208
worry,208
contact,204
partners,200
respect,199
~,198
effective,198
💔,198
overwhelmed,195
education,195
public,192
australians,191
due,185
culturally,185
linguistically,185
diverse,185
impacting,185
person,180
restrictions,179
basic,179
fact,179
packages,179
concerns,177
worried,177
day,177
physical,176
australia,173
issues,171
women,170
beat,170
separated,170
covid19,170
clinics,169
communities,166
#sexualassault,166
experiencing,166
strugglin,161
adjusting,161
ide,161
position,161
redundant,161
📞1800,161
john,161
reflect,161
annual,161
heart,161
breaking,161
wreaks,161
havoc,161
🇦🇺,161
expectation,161
anxiety,161
see,161
1800respect,157
seeing,155
family,154
changes,154
suggest,154
love,154
suffered,154
program,154
hardships,154
bans,154
apart,154
travel,152
together,151
others,151
please,151
struggling,150
take,145
dedicated,142
read,141
support,139
remaining,139
infor,139
uncertain,139
