keyword,created_at_local_time,screen_name,user_URL,tweet_URL,tweet_text,hashtag1,hashtag2
important,2020-09-10 18:39:24,ExemptThe,https://twitter.com/ExemptThe,https://twitter.com/i/web/status/1303976356447830016,"@ScottMorrisonMP  I AM NOT OK! I won’t be OK till the time you won’t  let me be with my wife. Mental health of non-citizens are equally important and hence,please exempt the families from this cruel travel bans.#LoveIsNotTourism #AFairGoForLove  #RemoveTheCap @AlanTudgeMP https://t.co/fSbg22szbq",AFairGoForLove,RemoveTheCap
important,2020-09-13 06:33:32,RMMackenzie1,https://twitter.com/RMMackenzie1,https://twitter.com/i/web/status/1304880846810341379,RT @footsiephotos: surely @GregHuntMP  wouldn't sit on something important for 10 weeks? oh hang on he has sat on the #thalidomide senate f…,thalidomide,thalidomide
important,2020-09-13 07:39:02,fehowarth,https://twitter.com/fehowarth,https://twitter.com/i/web/status/1304897331519614976,RT @footsiephotos: surely @GregHuntMP  wouldn't sit on something important for 10 weeks? oh hang on he has sat on the #thalidomide senate f…,thalidomide,thalidomide
important,2020-09-13 06:20:44,footsiephotos,https://twitter.com/footsiephotos,https://twitter.com/i/web/status/1304877627358937088,surely @GregHuntMP  wouldn't sit on something important for 10 weeks? oh hang on he has sat on the #thalidomide senate findings for 18 months..  #auspol #lnp #scomo  https://t.co/gBNpk2rkWk,auspol,thalidomide
important,2020-09-13 12:35:02,JohnACrimmins,https://twitter.com/JohnACrimmins,https://twitter.com/i/web/status/1304971823298142208,@LornaMoxham @GregHuntMP @ACMHN @ScottMorrisonMP Can we see the figures showing rates of mental health have gone up? Since Covid ?especially at the severity a MHN is needed? Can see definite first step of MC items for practice nurses as more important,,
stress,2020-09-13 14:27:53,ejstacey,https://twitter.com/ejstacey,https://twitter.com/i/web/status/1305000223861690368,"@WilburUncle I don't feel bad for people whose excuse is just following orders.. those SR staff are complicit in causing untold amounts of stress/ anxiety, if not worse.",,
stress,2020-09-09 08:48:29,SatchSkippygirl,https://twitter.com/SatchSkippygirl,https://twitter.com/i/web/status/1303465257248063488,"@mmmhotbreakfast This is the stressful part, nobody can agree on anything. What is true? What is right? This is causing the most anxiety and hopelessness",,
stress,2020-09-13 06:35:13,lovepre91961313,https://twitter.com/lovepre91961313,https://twitter.com/i/web/status/1304881274352402433,"RT @adventure_ali_: I am mentally, physically and financially exhausted and feel high levels of stress and depression - I know how you fe…",,
stress,2020-09-10 16:50:06,AJK18434773,https://twitter.com/AJK18434773,https://twitter.com/i/web/status/1303948849128460288,"RT @NiramaTandan: If our anxiety,stress continue too long, we're going to become more susceptible to the virus! Take it seriously! We've be…",,
stress,2020-09-13 15:12:41,koukli86,https://twitter.com/koukli86,https://twitter.com/i/web/status/1305011496964026369,"RT @adventure_ali_: I am mentally, physically and financially exhausted and feel high levels of stress and depression - I know how you fe…",,
stress,2020-09-13 05:59:17,removethecaps,https://twitter.com/removethecaps,https://twitter.com/i/web/status/1304872229201686528,"RT @adventure_ali_: I am mentally, physically and financially exhausted and feel high levels of stress and depression - I know how you fe…",,
stress,2020-09-14 10:48:31,jiangyin,https://twitter.com/jiangyin,https://twitter.com/i/web/status/1305307405325012992,"I still want to write an epic road trip story. If I didn't have a pile of WIPs already, and if NaNoWriMo didn't cause me so much anxiety and stress, I'd write it in November.",,
stress,2020-09-10 13:53:46,hydrocephlapod,https://twitter.com/hydrocephlapod,https://twitter.com/i/web/status/1303904473610203137,RT @AveryKaeHoward: @ScottMorrisonMP The fact that social security payments put people into poverty is a major mental health stressor for t…,,
stress,2020-09-10 13:55:26,middlegroundmel,https://twitter.com/middlegroundmel,https://twitter.com/i/web/status/1303904892554113026,"@ScottMorrisonMP On a day of this importance what has @ScottMorrisonMP &amp; @GregHuntMP done? Spent their time attacking Qld/Vic. The relentless daily attacks by these 2 &amp; @JoshFrydenberg is creating division, anxiety and mental health stress. It NEEDS TO STOP! #Australia #Mentalhealth #bullying",Australia,Mentalhealth
stress,2020-09-10 13:10:45,AveryKaeHoward,https://twitter.com/AveryKaeHoward,https://twitter.com/i/web/status/1303893647276961793,@ScottMorrisonMP The fact that social security payments put people into poverty is a major mental health stressor for those on those payments  Living in government mandated poverty with no choice on the matter is stressful and upsetting.  #KeepTheRate #RUOKDay2020,KeepTheRate,RUOKDay2020
covid,2020-09-09 09:43:42,ejstacey,https://twitter.com/ejstacey,https://twitter.com/i/web/status/1303479155414065152,"Mental illness needs proper attention. RUOK day doesn't do it.  Beyond Blue: https://t.co/QBdIoDqT7q Lifeline: 13 11 14 Vic DHHS list is resources: https://t.co/nEGqWNY4mY (covid focus, but good in general)",,
covid,2020-09-14 07:29:20,PanzerThiefZer0,https://twitter.com/PanzerThiefZer0,https://twitter.com/i/web/status/1305257280733020161,RT @LonelyGoomba: I literally lose brain cells reading Youtube comments on Covid19 related videos. We are losing the war to stupid I'm afra…,,
covid,2020-09-13 07:27:51,RNRos,https://twitter.com/RNRos,https://twitter.com/i/web/status/1304894519213617152,RT @LornaMoxham: The mental health toll of COVID is high. It makes NO sense that a prepared workforce of credentialed mental health nurses…,,
covid,2020-09-14 11:52:32,Yieki1,https://twitter.com/Yieki1,https://twitter.com/i/web/status/1305323517190180864,@mark_melbin @GregHuntMP They gave $43mill to mental health for Covid relief and they have given Rupert Murdoch $40mill so far that we know of. They don't care about vulnerable people. They just don't.,,
covid,2020-09-14 17:36:46,LorraineBranna2,https://twitter.com/LorraineBranna2,https://twitter.com/i/web/status/1305410142972731394,"@JEChalmers @CaptJeff Actually Jim, when the July, Aug, Set quarter comes out, as Im sure you're aware...Victoria will b in a DEPRESSION... SO its UTTERLY DISGRACEFUL That @ScottMorrisonMP &amp; @JoshFrydenberg Would Cut support by $300 for Vic's, esp Considering these stats (stats b4 Covid) Page 1.👇🏼 https://t.co/fOxnPjkA6W",,
covid,2020-09-13 05:06:10,michaelfpowell3,https://twitter.com/michaelfpowell3,https://twitter.com/i/web/status/1304858861405257728,"Compassion isn’t a numbers game Premier Palasczcuk. While you trot out the active Covid 19 .  Suicide rates due to Covid 19 loneliness, anxiety, depression, unemployment are likely to hit 1500 by years end, 50% increase on 2019. Well Premier Palasczcuk ???#Qldpol #qldvotes https://t.co/saRyOkobMu",Qldpol,qldvotes
covid,2020-09-13 08:05:48,Sian_NP,https://twitter.com/Sian_NP,https://twitter.com/i/web/status/1304904066904911872,RT @LornaMoxham: The mental health toll of COVID is high. It makes NO sense that a prepared workforce of credentialed mental health nurses…,,
covid,2020-09-12 11:11:56,FostKim,https://twitter.com/FostKim,https://twitter.com/i/web/status/1304588521466806272,RT @LornaMoxham: The mental health toll of COVID is high. It makes NO sense that a prepared workforce of credentialed mental health nurses…,,
covid,2020-09-15 21:42:01,jo_manski,https://twitter.com/jo_manski,https://twitter.com/i/web/status/1305834250294362114,RT @trishgreenhalgh: People with #longcovid are still being told by docs that a) it's all due to anxiety; b) it's normal for their age; c)…,longcovid,longcovid
covid,2020-09-12 09:05:51,LornaMoxham,https://twitter.com/LornaMoxham,https://twitter.com/i/web/status/1304556792555372551,The mental health toll of COVID is high. It makes NO sense that a prepared workforce of credentialed mental health nurses cannot access the MBS @GregHuntMP @ACMHN @ScottMorrisonMP,,
payment,2020-09-10 16:33:27,pearlparky,https://twitter.com/pearlparky,https://twitter.com/i/web/status/1303944657223577601,"RT @DefGif: @ScottMorrisonMP I just reached out to a psychologist regarding suicidal ideation, but the gap payment after a Mental Health…",,
payment,2020-09-10 16:31:23,job_daughter,https://twitter.com/job_daughter,https://twitter.com/i/web/status/1303944137394155521,"RT @DefGif: @ScottMorrisonMP I just reached out to a psychologist regarding suicidal ideation, but the gap payment after a Mental Health…",,
payment,2020-09-09 03:51:33,LorraineBranna2,https://twitter.com/LorraineBranna2,https://twitter.com/i/web/status/1303390531058245633,"@ScottMorrisonMP @JoshFrydenberg @GregHuntMP Maybe Scotty, Joshy &amp; Greg should’ve done a Poll 2 see How Many Dead Aged Care Loved One’s Voted LNP🤔  🤨Plus How Many of the Jobseeker/Jobkeeper Recipients they’re about 2 Severely Reduce Payments of, in a Depression, WERE LNP Voters https://t.co/jEgRGWuvA8",,
payment,2020-09-15 16:55:17,LorraineBranna2,https://twitter.com/LorraineBranna2,https://twitter.com/i/web/status/1305762091165347840,@TheKouk @annschof_ann Actually Victoria's in a DEPRESSION (will show in next ¼) 🙏🏼Can we start calling it what it is?....just cos figures wont b released for mths. This will b too late for all the ppl getting Jobseeker &amp; Jobkeeper payments cut by $300 a f/night + we have extreme levels of poverty😥 ↘️ https://t.co/CX5xKJ4OeD,,
payment,2020-09-10 23:21:46,LionofPerth,https://twitter.com/LionofPerth,https://twitter.com/i/web/status/1304047415796793345,"@ScottMorrisonMP Like say, a conversation about a fair, reasonable and proper rate for the JobSeeker payment?   A conversation about properly funding mental health services?   A conversation about ministerial conduct and corruption in your own ranks?   Too hard?",,
payment,2020-09-14 05:53:57,ozjohnd,https://twitter.com/ozjohnd,https://twitter.com/i/web/status/1305233277108670464,"@GregHuntMP @PatMcGorry Meanwhile you continue to defund General Practice by neglect, you know, the primary health care provider for the vast majority of community mental health. Your Government refuses to provide adequate welfare payments so a contributor to poor mental health. Have you no shame sir?",,
payment,2020-09-10 13:53:46,hydrocephlapod,https://twitter.com/hydrocephlapod,https://twitter.com/i/web/status/1303904473610203137,RT @AveryKaeHoward: @ScottMorrisonMP The fact that social security payments put people into poverty is a major mental health stressor for t…,,
payment,2020-09-11 17:13:24,RachelEMenzies,https://twitter.com/RachelEMenzies,https://twitter.com/i/web/status/1304317100345843712,"How to best improve the mental health of Australians in a pandemic? A) don’t slash JobKeeper payments for 1 million Victorians who literally cannot attend work due to lockdown, or B) tweet “R U OK”. Great choice  @ScottMorrisonMP #Auspol https://t.co/ZGARnsS8gs https://t.co/q7QM8F1JmL",Auspol,Auspol
payment,2020-09-10 13:10:45,AveryKaeHoward,https://twitter.com/AveryKaeHoward,https://twitter.com/i/web/status/1303893647276961793,@ScottMorrisonMP The fact that social security payments put people into poverty is a major mental health stressor for those on those payments  Living in government mandated poverty with no choice on the matter is stressful and upsetting.  #KeepTheRate #RUOKDay2020,KeepTheRate,RUOKDay2020
payment,2020-09-10 17:30:11,democracydemon1,https://twitter.com/democracydemon1,https://twitter.com/i/web/status/1303958937117405184,"RT @DefGif: @ScottMorrisonMP I just reached out to a psychologist regarding suicidal ideation, but the gap payment after a Mental Health…",,
non-citizens,2020-09-11 12:08:28,sreeura,https://twitter.com/sreeura,https://twitter.com/i/web/status/1304240362114801664,RT @ExemptThe: @ScottMorrisonMP  I AM NOT OK! I won’t be OK till the time you won’t  let me be with my wife. Mental health of non-citizens…,,
non-citizens,2020-09-15 10:18:57,sreeura,https://twitter.com/sreeura,https://twitter.com/i/web/status/1305662352369414146,RT @ExemptThe: @ScottMorrisonMP  I AM NOT OK! I won’t be OK till the time you won’t  let me be with my wife. Mental health of non-citizens…,,
non-citizens,2020-09-10 20:53:02,jazzbby91,https://twitter.com/jazzbby91,https://twitter.com/i/web/status/1304009986377310209,RT @ExemptThe: @ScottMorrisonMP  I AM NOT OK! I won’t be OK till the time you won’t  let me be with my wife. Mental health of non-citizens…,,
non-citizens,2020-09-11 03:58:19,koukli86,https://twitter.com/koukli86,https://twitter.com/i/web/status/1304117010243227648,RT @ExemptThe: @ScottMorrisonMP  I AM NOT OK! I won’t be OK till the time you won’t  let me be with my wife. Mental health of non-citizens…,,
non-citizens,2020-09-10 21:01:32,reunitelove,https://twitter.com/reunitelove,https://twitter.com/i/web/status/1304012124276969474,RT @ExemptThe: @ScottMorrisonMP  I AM NOT OK! I won’t be OK till the time you won’t  let me be with my wife. Mental health of non-citizens…,,
non-citizens,2020-09-10 18:45:05,almightypuja,https://twitter.com/almightypuja,https://twitter.com/i/web/status/1303977784264384514,RT @ExemptThe: @ScottMorrisonMP  I AM NOT OK! I won’t be OK till the time you won’t  let me be with my wife. Mental health of non-citizens…,,
non-citizens,2020-09-11 07:13:05,lucilcka,https://twitter.com/lucilcka,https://twitter.com/i/web/status/1304166026435874818,RT @ExemptThe: @ScottMorrisonMP  I AM NOT OK! I won’t be OK till the time you won’t  let me be with my wife. Mental health of non-citizens…,,
non-citizens,2020-09-10 18:39:24,ExemptThe,https://twitter.com/ExemptThe,https://twitter.com/i/web/status/1303976356447830016,"@ScottMorrisonMP  I AM NOT OK! I won’t be OK till the time you won’t  let me be with my wife. Mental health of non-citizens are equally important and hence,please exempt the families from this cruel travel bans.#LoveIsNotTourism #AFairGoForLove  #RemoveTheCap @AlanTudgeMP https://t.co/fSbg22szbq",AFairGoForLove,RemoveTheCap
non-citizens,2020-09-10 19:54:19,sonipriya2004,https://twitter.com/sonipriya2004,https://twitter.com/i/web/status/1303995208166596609,RT @ExemptThe: @ScottMorrisonMP  I AM NOT OK! I won’t be OK till the time you won’t  let me be with my wife. Mental health of non-citizens…,,
non-citizens,2020-09-10 19:43:15,tall_rach,https://twitter.com/tall_rach,https://twitter.com/i/web/status/1303992422393765889,RT @ExemptThe: @ScottMorrisonMP  I AM NOT OK! I won’t be OK till the time you won’t  let me be with my wife. Mental health of non-citizens…,,
check,2020-09-13 08:11:17,mon_marsh,https://twitter.com/mon_marsh,https://twitter.com/i/web/status/1304905449523695616,RT @briantylercohen: Wow check out all this economic anxiety.,,
check,2020-09-10 17:43:15,sreeura,https://twitter.com/sreeura,https://twitter.com/i/web/status/1303962226819129345,RT @adventure_ali_: This poor man. No one called to check on him for 5 days. That's a long time to be stuck in solitary confinement for his…,,
check,2020-09-11 01:43:30,koukli86,https://twitter.com/koukli86,https://twitter.com/i/web/status/1304083083658919936,RT @adventure_ali_: This poor man. No one called to check on him for 5 days. That's a long time to be stuck in solitary confinement for his…,,
check,2020-09-11 00:16:44,neetasalaria,https://twitter.com/neetasalaria,https://twitter.com/i/web/status/1304061246631677952,RT @adventure_ali_: This poor man. No one called to check on him for 5 days. That's a long time to be stuck in solitary confinement for his…,,
check,2020-09-10 17:37:25,Dralia_p,https://twitter.com/Dralia_p,https://twitter.com/i/web/status/1303960757130817537,RT @adventure_ali_: This poor man. No one called to check on him for 5 days. That's a long time to be stuck in solitary confinement for his…,,
check,2020-09-10 19:06:06,BarneyMcgraw,https://twitter.com/BarneyMcgraw,https://twitter.com/i/web/status/1303983073080606720,RT @adventure_ali_: This poor man. No one called to check on him for 5 days. That's a long time to be stuck in solitary confinement for his…,,
check,2020-09-10 13:57:24,tandigi,https://twitter.com/tandigi,https://twitter.com/i/web/status/1303905388849373184,@ScottMorrisonMP How about checking on the mental health of the family on Manus Island... #hometobilo,hometobilo,hometobilo
check,2020-09-10 17:39:08,rachel_smylie,https://twitter.com/rachel_smylie,https://twitter.com/i/web/status/1303961188712157184,RT @adventure_ali_: This poor man. No one called to check on him for 5 days. That's a long time to be stuck in solitary confinement for his…,,
check,2020-09-10 17:33:07,adventure_ali_,https://twitter.com/adventure_ali_,https://twitter.com/i/web/status/1303959673922621440,This poor man. No one called to check on him for 5 days. That's a long time to be stuck in solitary confinement for his crime of being overseas. There's got to be a better way. @ScottMorrisonMP @GladysB @AnnastaciaMP @DanielAndrewsMP @marshall_steven https://t.co/1GXwPeu1dd,,
check,2020-09-10 19:13:29,ShaunRowland,https://twitter.com/ShaunRowland,https://twitter.com/i/web/status/1303984931790438401,RT @adventure_ali_: This poor man. No one called to check on him for 5 days. That's a long time to be stuck in solitary confinement for his…,,
write,2020-09-14 14:15:11,Jemor53,https://twitter.com/Jemor53,https://twitter.com/i/web/status/1305359415197884416,"@DrEricHadinata @CarolynSiddel @GregHuntMP Has he informed you yet that from the 1/1/21 you are expected to write nicotine scripts for ex-smoking vapers so they won't have to pay $220,000 fines he has set? Oh..and has he offered you means of learning how to do that? All part of mental health and he's making it worse.",,
write,2020-09-14 10:48:31,jiangyin,https://twitter.com/jiangyin,https://twitter.com/i/web/status/1305307405325012992,"I still want to write an epic road trip story. If I didn't have a pile of WIPs already, and if NaNoWriMo didn't cause me so much anxiety and stress, I'd write it in November.",,
wrong,2020-09-09 18:23:05,sreeura,https://twitter.com/sreeura,https://twitter.com/i/web/status/1303609863210065921,"RT @ShresthaPrameel: We aren’t a criminal, haven't done anything wrong to anyone! Why is the govt being cruel to me? My mental health will…",,
wrong,2020-09-09 23:13:14,sreeura,https://twitter.com/sreeura,https://twitter.com/i/web/status/1303682880107810816,"RT @NiramaTandan: We aren’t a criminal, haven't done anything wrong to anyone! Why is the govt being cruel to me? My mental health will soo…",,
wrong,2020-09-10 14:07:47,sreeura,https://twitter.com/sreeura,https://twitter.com/i/web/status/1303908001326145536,"RT @NiramaTandan: @ScottMorrisonMP We aren’t a criminal, haven't done anything wrong to anyone! Why is the govt being cruel to me? My menta…",,
wrong,2020-09-10 16:01:12,sreeura,https://twitter.com/sreeura,https://twitter.com/i/web/status/1303936542809812992,"RT @Aashish48691419: We aren’t a criminal, haven't done anything wrong to anyone! Why is the govt being cruel to me? My mental health will…",,
wrong,2020-09-10 16:34:03,sreeura,https://twitter.com/sreeura,https://twitter.com/i/web/status/1303944812102471680,"RT @ShresthaPrameel: @ScottMorrisonMP We aren’t a criminal, haven't done anything wrong to anyone! Why is the govt being cruel to me? My me…",,
wrong,2020-09-15 21:32:16,sreeura,https://twitter.com/sreeura,https://twitter.com/i/web/status/1305831797616332800,"RT @ShresthaPrameel: @ScottMorrisonMP We aren’t a criminal, haven't done anything wrong to anyone! Why is the govt being cruel to me? My me…",,
wrong,2020-09-11 12:28:22,BasnetRashmita,https://twitter.com/BasnetRashmita,https://twitter.com/i/web/status/1304245367689498624,"RT @Aashish48691419: We aren’t a criminal, haven't done anything wrong to anyone! Why is the govt being cruel to me? My mental health will…",,
wrong,2020-09-10 14:56:36,lovepre91961313,https://twitter.com/lovepre91961313,https://twitter.com/i/web/status/1303920284643196928,"RT @NiramaTandan: @ScottMorrisonMP We aren’t a criminal, haven't done anything wrong to anyone! Why is the govt being cruel to me? My menta…",,
