keyword,counts
system,309
deteriorated,289
significantly,289
productive,289
drain,289
medical,289
want,282
start,271
enough,261
adding,256
far,238
sessions,231
ones,220
medicare,217
meet,208
let,198
covid-safe,195
rejection,195
better,185
ban,180
solution,179
away,179
much,179
via,176
loved,176
way,176
lot,170
exit,170
going,170
government,166
struggling,166
depression,163
fiancé,161
3rd,161
apparently,161
depressed,161
requirements,161
meanwhile,161
posting,161
fight,161
closed,161
borders,161
mon,161
madness,161
suicidal,151
reunite,151
virus,139
long,139
incredibly,139
broken,139
damaging,139
creating,139
outrageous,139
punish,139
students,139
taking,139
maybe,139
16,139
waiting,139
trying,139
suicides,139
su,139
months,134
service,134
social,134
sustained,134
stressed,114
access,113
still,111
practitioners,111
child,111
actually,111
relationships,111
really,111
requests,111
rules,111
increase,111
come,110
wit,110
aus,110
aust,110
shortsighted,110
financi,110
levels,110
failed,110
week,110
stats,110
jones,110
mates,110
seems,110
hear,110
cause,110
andrews,110
nurses,105
#loveisnottourism,101
work,101
seeing,98
nurse,92
things,92
workforce,92
