keyword,counts
suicide,296
high,280
additional,274
prevention,268
remain,268
priorities,268
providing,268
subsidised,268
see,264
feel,261
medicare,252
tough,248
impacts,246
care;,229
restrictions,229
#loveisnottoursim,208
lover,208
covid-19,202
know,198
sure,185
morrison,179
•,179
extended,179
telehealt,179
famili,179
outbreak,179
isolation,179
stressed,179
overwhelmed,179
it',179
health;,179
stress,170
anxious,170
quiz,161
following,161
sectors,161
disability,161
indigenous,161
aged,154
coronavirus,145
#afairgoforlove,139
cent,139
wake,139
news,139
unique,139
ha,139
australian,139
peak,139
don‘t,139
strong,139
surroundings,139
suffer,134
anxiety,130
government,119
borders,119
need,119
make,111
right,111
citizens,111
kept,111
50,110
punch,110
farmers,110
hurting,110
pole-axed,110
sector,110
investment,110
june,110
qtr,110
#removet,110
#removethecap,99
issues,98
open,98
family,97
serious,92
look,91
day,89
going,89
impact,85
depression,85
tweet,82
regarding,82
private,82
2012,82
keep,79
care,77
death,69
young,69
levels,69
condition,69
especially,69
racism,69
explains,69
chronic,69
experienced,69
aborigin,69
someone,69
dear,69
woooow,69
video,69
