date_str,positive,negative,neutral,daily_tweets_cnt,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,acc_tweets_cnt
2020-01-14,0,0,1,1,0.0,0.0,1.0,0,0,1,1
2020-01-15,0,0,3,3,0.0,0.0,1.0,0,0,4,4
2020-01-17,0,0,3,3,0.0,0.0,1.0,0,0,7,7
2020-02-18,2,0,0,2,1.0,0.0,0.0,2,0,7,9
2020-03-05,0,0,1,1,0.0,0.0,1.0,2,0,8,10
2020-03-19,1,0,0,1,1.0,0.0,0.0,3,0,8,11
2020-04-26,0,2,0,2,0.0,1.0,0.0,3,2,8,13
2020-05-13,0,1,0,1,0.0,1.0,0.0,3,3,8,14
2020-05-20,2,1,0,3,0.6667,0.3333,0.0,5,4,8,17
2020-05-25,5,0,10,15,0.3333,0.0,0.6667,10,4,18,32
2020-05-26,2,0,2,4,0.5,0.0,0.5,12,4,20,36
2020-05-27,5,0,0,5,1.0,0.0,0.0,17,4,20,41
2020-05-28,2,0,0,2,1.0,0.0,0.0,19,4,20,43
2020-06-12,1,0,0,1,1.0,0.0,0.0,20,4,20,44
2020-06-15,0,0,3,3,0.0,0.0,1.0,20,4,23,47
2020-06-16,0,0,1,1,0.0,0.0,1.0,20,4,24,48
2020-06-17,0,0,1,1,0.0,0.0,1.0,20,4,25,49
2020-06-18,0,0,1,1,0.0,0.0,1.0,20,4,26,50
2020-06-19,0,1,1,2,0.0,0.5,0.5,20,5,27,52
2020-06-22,0,0,1,1,0.0,0.0,1.0,20,5,28,53
2020-06-24,0,0,1,1,0.0,0.0,1.0,20,5,29,54
2020-06-28,7,0,0,7,1.0,0.0,0.0,27,5,29,61
2020-06-29,6,6,1,13,0.4615,0.4615,0.0769,33,11,30,74
2020-06-30,25,29,1,55,0.4545,0.5273,0.0182,58,40,31,129
2020-07-01,12,18,18,48,0.25,0.375,0.375,70,58,49,177
2020-07-02,52,79,8,139,0.3741,0.5683,0.0576,122,137,57,316
2020-07-03,42,17,2,61,0.6885,0.2787,0.0328,164,154,59,377
2020-07-04,150,28,37,215,0.6977,0.1302,0.1721,314,182,96,592
2020-07-05,38,6,4,48,0.7917,0.125,0.0833,352,188,100,640
2020-07-06,35,28,6,69,0.5072,0.4058,0.087,387,216,106,709
2020-07-07,41,39,24,104,0.3942,0.375,0.2308,428,255,130,813
2020-07-08,5,22,40,67,0.0746,0.3284,0.597,433,277,170,880
2020-07-09,13,71,11,95,0.1368,0.7474,0.1158,446,348,181,975
2020-07-10,30,22,11,63,0.4762,0.3492,0.1746,476,370,192,1038
2020-07-11,12,33,18,63,0.1905,0.5238,0.2857,488,403,210,1101
2020-07-12,19,17,21,57,0.3333,0.2982,0.3684,507,420,231,1158
2020-07-13,4,40,11,55,0.0727,0.7273,0.2,511,460,242,1213
2020-07-14,52,9,12,73,0.7123,0.1233,0.1644,563,469,254,1286
2020-07-15,8,39,9,56,0.1429,0.6964,0.1607,571,508,263,1342
2020-07-16,2,22,5,29,0.069,0.7586,0.1724,573,530,268,1371
2020-07-17,4,21,6,31,0.129,0.6774,0.1935,577,551,274,1402
2020-07-18,7,6,4,17,0.4118,0.3529,0.2353,584,557,278,1419
2020-07-19,6,12,3,21,0.2857,0.5714,0.1429,590,569,281,1440
2020-07-20,62,17,8,87,0.7126,0.1954,0.092,652,586,289,1527
2020-07-21,15,45,39,99,0.1515,0.4545,0.3939,667,631,328,1626
2020-07-22,29,56,37,122,0.2377,0.459,0.3033,696,687,365,1748
2020-07-23,15,32,17,64,0.2344,0.5,0.2656,711,719,382,1812
2020-07-24,23,73,2,98,0.2347,0.7449,0.0204,734,792,384,1910
2020-07-25,16,17,6,39,0.4103,0.4359,0.1538,750,809,390,1949
2020-07-26,18,35,10,63,0.2857,0.5556,0.1587,768,844,400,2012
2020-07-27,17,20,26,63,0.2698,0.3175,0.4127,785,864,426,2075
2020-07-28,21,54,36,111,0.1892,0.4865,0.3243,806,918,462,2186
2020-07-29,65,33,32,130,0.5,0.2538,0.2462,871,951,494,2316
2020-07-30,19,36,21,76,0.25,0.4737,0.2763,890,987,515,2392
2020-07-31,14,11,10,35,0.4,0.3143,0.2857,904,998,525,2427
2020-08-01,8,56,29,93,0.086,0.6022,0.3118,912,1054,554,2520
2020-08-02,74,304,52,430,0.1721,0.707,0.1209,986,1358,606,2950
2020-08-03,239,100,80,419,0.5704,0.2387,0.1909,1225,1458,686,3369
2020-08-04,38,51,82,171,0.2222,0.2982,0.4795,1263,1509,768,3540
2020-08-05,28,50,37,115,0.2435,0.4348,0.3217,1291,1559,805,3655
2020-08-06,460,60,140,660,0.697,0.0909,0.2121,1751,1619,945,4315
2020-08-07,102,96,90,288,0.3542,0.3333,0.3125,1853,1715,1035,4603
2020-08-08,61,81,16,158,0.3861,0.5127,0.1013,1914,1796,1051,4761
2020-08-09,394,56,25,475,0.8295,0.1179,0.0526,2308,1852,1076,5236
2020-08-10,71,101,13,185,0.3838,0.5459,0.0703,2379,1953,1089,5421
2020-08-11,30,88,22,140,0.2143,0.6286,0.1571,2409,2041,1111,5561
2020-08-12,15,19,53,87,0.1724,0.2184,0.6092,2424,2060,1164,5648
2020-08-13,26,148,139,313,0.0831,0.4728,0.4441,2450,2208,1303,5961
2020-08-14,31,40,51,122,0.2541,0.3279,0.418,2481,2248,1354,6083
2020-08-15,20,44,23,87,0.2299,0.5057,0.2644,2501,2292,1377,6170
2020-08-16,22,61,60,143,0.1538,0.4266,0.4196,2523,2353,1437,6313
2020-08-17,167,83,33,283,0.5901,0.2933,0.1166,2690,2436,1470,6596
2020-08-18,66,234,41,341,0.1935,0.6862,0.1202,2756,2670,1511,6937
