keyword,counts
worse,283
41,277
case,271
australia,262
depression,252
#scottyfrommarketing,248
seriously,248
know,241
another,240
ablaze,240
takes,240
hawaiian,240
holiday,240
people,227
men,220
sa,220
eds,220
relentless,220
attacks,220
yes,208
patients,208
metro,208
pile,208
guise,208
caring,208
leave,198
minister,195
worst,195
government,192
aged,185
criminal,185
great,185
victorians,180
cause,179
recession,170
tonight,166
support,165
greg,161
needs,161
morrison,161
entering,161
focus,161
deaths,161
lost,154
please,151
living,139
lockdowns,139
livelihoods,139
making,139
rather,139
utilise,139
ankle,139
monitors,139
innovative,139
technology,139
emotional,139
distress,139
travel,139
daily,139
pre-prepared,139
group,139
covid,139
bizarre,139
problems,139
made,139
playing,139
political,139
going,139
home,139
put,134
economic,134
suicide,119
much,114
andrews,114
care,111
govt,111
already,111
beyond,111
end,111
system,111
better,111
watching,111
yet,111
lockdown,110
stimulus,110
decisions,110
scomo,110
austr,110
reporting,110
numbers,110
driven,110
suicides/attempts,110
#liftthetravelban,110
repair,110
mum,110
exempted,110
times,110
fix,110
seeking,110
options,110
