keyword,counts
oc,229
currently,220
seeing,220
national,220
enormous,209
amount,209
consultations,209
notifying,209
given,208
current,208
prospects,208
emerging,208
generation,208
youth,208
strategy,208
time,199
v,195
significantly,195
sadly,192
patients,188
recovery,180
looking,179
covid-19,179
pandemic,177
sam,161
chatbot,161
asked,161
visit,161
alone,161
agree,161
drank,161
less,161
talk,154
information,139
totally,139
patient,139
concerned,139
choice,139
strict,139
survey,139
analysis,139
wastewater,139
anxiety,136
answer,134
found,134
study,119
coronavirus,114
sure,114
start,114
covid19,114
depression,113
general,111
gp,111
use,111
south,111
tropical,110
made,110
ment,110
thought,110
wellbeing,110
ww2,110
drinking,110
595,110
212,110
ocd,110
multidisciplinary,110
-supported,110
gender,110
minority,110
college,110
suic,110
'drop,110
defences',110
advocates,110
warn,110
adelaide,110
revealed,110
need,103
australians,101
economic,98
increase,92
rates,92
telehealth,89
lockdown,83
continue,82
continues,82
adverse,82
escalate,82
eds,82
cutting,82
proof,82
help,73
people,69
#bringushome,69
months,69
anyone,69
check,69
nu,69
parents,69
nsw,69
