keyword,counts
welcome,272
ppl,248
#mentalh,240
extension,229
receive,229
#covid19vic,194
#medicare,185
program,166
expanded,166
makes,161
activity,161
works,161
access,158
exercise,139
ab,139
million,139
active,134
big,134
may,134
#depression,134
difference,134
announcement,134
idea,114
thank,114
better,111
positive,111
ten,110
#go8,110
researchers,110
awarded,110
$7,110
harness,110
artificial,110
extremely,110
training,110
living,110
news,104
find,101
daily,101
restrictions,98
anxiety,97
#anxiety,92
thanks,92
know,90
physical,89
funding,89
sessions,83
learn,82
men,82
research,79
provide,76
subsidised,72
#mentalhealth,72
increased,69
interested,69
mood,69
experiencing,69
appreciate,69
tips,69
manage,69
march,69
alleviate,69
psychiatrist,69
aid,69
disorders,69
pleased,69
launch,69
#zerosuicide,69
directory,69
programs,69
produced,69
local,69
area,69
flinders,69
mornington,69
self-esteem,69
youth,69
permanent,69
thread,69
#trauma,69
medicare,66
due,62
wave,62
hear,55
australians,55
federal,55
victorians,48
experience,47
first,47
resources,46
used,46
team,46
working,46
says,46
particularly,46
let,41
support,37
care,37
covid-19,35
fear,35
