date_str,positive,negative,neutral,daily_tweets_cnt,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,acc_tweets_cnt
2020-01-14,0,0,1,1,0.0,0.0,1.0,0,0,1,1
2020-01-15,0,0,3,3,0.0,0.0,1.0,0,0,4,4
2020-01-17,0,0,3,3,0.0,0.0,1.0,0,0,7,7
2020-02-18,2,0,0,2,1.0,0.0,0.0,2,0,7,9
2020-03-19,1,0,0,1,1.0,0.0,0.0,3,0,7,10
2020-03-31,0,1,0,1,0.0,1.0,0.0,3,1,7,11
2020-04-01,0,1,0,1,0.0,1.0,0.0,3,2,7,12
2020-04-26,0,2,0,2,0.0,1.0,0.0,3,4,7,14
2020-05-13,0,1,0,1,0.0,1.0,0.0,3,5,7,15
2020-05-20,2,1,0,3,0.6667,0.3333,0.0,5,6,7,18
2020-05-25,5,0,10,15,0.3333,0.0,0.6667,10,6,17,33
2020-05-26,2,0,2,4,0.5,0.0,0.5,12,6,19,37
2020-05-27,5,0,0,5,1.0,0.0,0.0,17,6,19,42
2020-05-28,2,0,0,2,1.0,0.0,0.0,19,6,19,44
2020-06-11,0,0,7,7,0.0,0.0,1.0,19,6,26,51
2020-06-12,1,0,2,3,0.3333,0.0,0.6667,20,6,28,54
2020-06-15,0,0,3,3,0.0,0.0,1.0,20,6,31,57
2020-06-16,0,0,1,1,0.0,0.0,1.0,20,6,32,58
2020-06-17,0,0,2,2,0.0,0.0,1.0,20,6,34,60
2020-06-18,0,0,1,1,0.0,0.0,1.0,20,6,35,61
2020-06-19,0,1,1,2,0.0,0.5,0.5,20,7,36,63
2020-06-22,0,0,1,1,0.0,0.0,1.0,20,7,37,64
2020-06-24,0,0,1,1,0.0,0.0,1.0,20,7,38,65
2020-06-28,7,0,0,7,1.0,0.0,0.0,27,7,38,72
2020-06-29,3,6,1,10,0.3,0.6,0.1,30,13,39,82
2020-06-30,19,29,1,49,0.3878,0.5918,0.0204,49,42,40,131
2020-07-01,9,22,21,52,0.1731,0.4231,0.4038,58,64,61,183
2020-07-02,50,74,8,132,0.3788,0.5606,0.0606,108,138,69,315
2020-07-03,32,23,2,57,0.5614,0.4035,0.0351,140,161,71,372
2020-07-04,150,36,37,223,0.6726,0.1614,0.1659,290,197,108,595
2020-07-05,14,13,4,31,0.4516,0.4194,0.129,304,210,112,626
2020-07-06,35,45,4,84,0.4167,0.5357,0.0476,339,255,116,710
2020-07-07,4,47,24,75,0.0533,0.6267,0.32,343,302,140,785
2020-07-08,40,38,28,106,0.3774,0.3585,0.2642,383,340,168,891
2020-07-09,53,77,60,190,0.2789,0.4053,0.3158,436,417,228,1081
2020-07-10,24,31,20,75,0.32,0.4133,0.2667,460,448,248,1156
2020-07-11,9,52,10,71,0.1268,0.7324,0.1408,469,500,258,1227
2020-07-12,9,18,14,41,0.2195,0.439,0.3415,478,518,272,1268
2020-07-13,4,48,11,63,0.0635,0.7619,0.1746,482,566,283,1331
2020-07-14,21,11,11,43,0.4884,0.2558,0.2558,503,577,294,1374
2020-07-15,8,57,3,68,0.1176,0.8382,0.0441,511,634,297,1442
2020-07-16,2,39,4,45,0.0444,0.8667,0.0889,513,673,301,1487
2020-07-17,4,42,11,57,0.0702,0.7368,0.193,517,715,312,1544
2020-07-18,0,26,5,31,0.0,0.8387,0.1613,517,741,317,1575
2020-07-19,7,13,3,23,0.3043,0.5652,0.1304,524,754,320,1598
2020-07-20,62,20,7,89,0.6966,0.2247,0.0787,586,774,327,1687
2020-07-21,13,45,22,80,0.1625,0.5625,0.275,599,819,349,1767
2020-07-22,38,60,39,137,0.2774,0.438,0.2847,637,879,388,1904
2020-07-23,7,29,20,56,0.125,0.5179,0.3571,644,908,408,1960
2020-07-24,8,84,4,96,0.0833,0.875,0.0417,652,992,412,2056
2020-07-25,16,18,6,40,0.4,0.45,0.15,668,1010,418,2096
2020-07-26,16,34,10,60,0.2667,0.5667,0.1667,684,1044,428,2156
2020-07-27,16,23,28,67,0.2388,0.3433,0.4179,700,1067,456,2223
2020-07-28,21,81,16,118,0.178,0.6864,0.1356,721,1148,472,2341
2020-07-29,68,38,45,151,0.4503,0.2517,0.298,789,1186,517,2492
2020-07-30,2,45,21,68,0.0294,0.6618,0.3088,791,1231,538,2560
2020-07-31,14,15,10,39,0.359,0.3846,0.2564,805,1246,548,2599
2020-08-01,8,55,17,80,0.1,0.6875,0.2125,813,1301,565,2679
2020-08-02,64,317,113,494,0.1296,0.6417,0.2287,877,1618,678,3173
2020-08-03,186,178,67,431,0.4316,0.413,0.1555,1063,1796,745,3604
2020-08-04,16,73,54,143,0.1119,0.5105,0.3776,1079,1869,799,3747
