tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,state,gender,age
mental-health-general-australia,JohnRob16933826, https://twitter.com/JohnRob16933826,2020-06-29 13:38:25,https://twitter.com/i/web/status/1277597292225196037,"RT @JessDavis1308: The fee increase on Social Work degrees has the potential to detrimentally impact the #mentalhealth sector/workforce, of…",negative,Victoria,Female,(25-32)
mental-health-awareness-australia,AlannaSincovich, https://twitter.com/AlannaSincovich,2020-07-08 02:13:16,https://twitter.com/i/web/status/1280686357430427648,RT @AimeeBrownbill: The @blackdoginst need young Australians 12-18y to share their experience of how the COVID-19 pandemic has impacted the…,neutral,South Australia,Female,(25-32)
mental-health-general-australia,ElaineM11584892, https://twitter.com/ElaineM11584892,2020-07-01 22:44:51,https://twitter.com/i/web/status/1278459579462856704,RT @DM007A: @KoparaFallsKid @ScottMorrisonMP Those are the type of comments you hear from people who have never been unemployed.  Unemploym…,neutral,New South Wales,Female,(8-12)
mental-health-availability-australia,Rickstertez, https://twitter.com/Rickstertez,2020-07-07 10:19:29,https://twitter.com/i/web/status/1280446330523934721,RT @lynlinking: @BlakandBlack @WgarNews @twtrrr @CartwheelPrint @GerryGeorgatos @NspTrp @NatIndigTimes @WhteRbbnAdvocat @AnimaeOK @RachelQu…,positive,,Female,(25-32)
mental-health-availability-australia,SenSHenderson, https://twitter.com/SenSHenderson,2020-05-25 08:20:26,https://twitter.com/i/web/status/1264833693018755074,RT @GregHuntMP: The Aust Govt is providing more than $20m additional funding for research to improve mental health care and reduce suicide…,positive,Victoria,Female,(38-43)
mental-health-general-australia,SenSHenderson, https://twitter.com/SenSHenderson,2020-05-25 08:20:26,https://twitter.com/i/web/status/1264833693018755074,RT @GregHuntMP: The Aust Govt is providing more than $20m additional funding for research to improve mental health care and reduce suicide…,positive,Victoria,Female,(38-43)
mental-health-awareness-australia,mik_rosser, https://twitter.com/mik_rosser,2020-07-07 09:12:28,https://twitter.com/i/web/status/1280429467249209345,"RT @sophiescott2: Thoughts are with everyone in Victoria. If you are struggling, you are not alone. Pls call  Lifeline 13 11 14 Kids Helpli…",negative,New South Wales,Female,(25-32)
mental-health-availability-australia,ingioz, https://twitter.com/ingioz,2020-07-06 09:23:46,https://twitter.com/i/web/status/1280069920814796802,RT @SuicidePrevAU: A new white paper published by Suicide Prevention Australia and @wesleymission highlights the potential impacts of COVID…,negative,,Female,(8-12)
mental-health-awareness-australia,ingioz, https://twitter.com/ingioz,2020-07-08 19:01:41,https://twitter.com/i/web/status/1280940133848514561,RT @LifelineAust: We’ve excited to soon be launching our new website with updated content and improved navigation. Although it will look di…,positive,,Female,(8-12)
mental-health-awareness-australia,ingioz, https://twitter.com/ingioz,2020-07-09 01:36:27,https://twitter.com/i/web/status/1281039481387139073,"RT @beyondblue: As lockdown restrictions continue to fluctuate, you might be feeling unsettled or anxious about what this means for you or…",negative,,Female,(8-12)
mental-health-availability-australia,VmwhV, https://twitter.com/VmwhV,2020-07-06 09:42:58,https://twitter.com/i/web/status/1280074752099409920,"RT @PeterKhalilMP: 2/4 I have spoken to community leaders in some of the towers, they tell me there's issues w/ food &amp; medication delivery,…",negative,Victoria,Female,(25-32)
mental-health-recognition-australia,JNsh45186293, https://twitter.com/JNsh45186293,2020-07-03 12:32:19,https://twitter.com/i/web/status/1279030209354711040,"RT @BenjaminMillar: ...policing can cause harm– fear, stress, anxiety, confusion and the disproportionate serving of fines on those least…",negative,,Male,(4-6)
mental-health-awareness-australia,CharlesHolly13, https://twitter.com/CharlesHolly13,2020-07-07 11:50:25,https://twitter.com/i/web/status/1280469216022282243,RT @nadinevoncohen: FUCK YEAH VICTORIANS IF YOU'RE STRUGGLING MENTALLY / MONEYLY / IN A HARMFUL LIVNG SITUATION PLEASE CALL A FRIEND OR THE…,negative,,Female,(48-53)
mental-health-availability-australia,MettaBhavana1, https://twitter.com/MettaBhavana1,2020-07-08 03:56:02,https://twitter.com/i/web/status/1280712218837807104,RT @abcnews: What's stopped you from seeing a psychologist? Share your story https://t.co/6WrOqZw90l,positive,Victoria,Female,(60-100)
