tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,pos_possibility,neg_possibility,neu_possibility,state,gender,age
mental-health-availability-australia,NickTrebla, https://twitter.com/NickTrebla,2020-08-24 12:18:00,https://twitter.com/i/web/status/1297870774552780800,RT @MadFckingWitch: A. Several companies in AUS including Beyond Blue &amp; RUOK receive the lion’s share of mental health funding outside hosp…,neutral,0.05016,0.45314,0.4967,New South Wales,Male,(60-100)
mental-health-awareness-australia,rick_rampal, https://twitter.com/rick_rampal,2020-06-29 11:49:26,https://twitter.com/i/web/status/1277569864194912256,RT @JuliaGillard: I welcome the Australian Gov’s commitment to addressing the mental health needs of all Australians in these difficult tim…,positive,0.88902,0.00594,0.10503,,Male,(25-32)
mental-health-awareness-australia,rick_rampal, https://twitter.com/rick_rampal,2020-06-29 11:49:26,https://twitter.com/i/web/status/1277569864194912256,RT @JuliaGillard: I welcome the Australian Gov’s commitment to addressing the mental health needs of all Australians in these difficult tim…,positive,0.88916,0.00593,0.10498,,Male,(25-32)
mental-health-availability-australia,tkft7, https://twitter.com/tkft7,2020-08-20 10:21:29,https://twitter.com/i/web/status/1296391899188588546,"@MackenzieSteel @adv_australia That’s true and this is a false equivalence. However unless you are elderly and have pre existing conditions, there is almost zero chance you die from covid. We need to try to be balanced on this re: risk mitigation vs downside for everyone (mental health, domestic violence etc)",neutral,0.02961,0.29398,0.67641,,Male,(0-2)
mental-health-awareness-australia,NalavadiPreeti, https://twitter.com/NalavadiPreeti,2020-08-18 07:57:19,https://twitter.com/i/web/status/1295630845139542018,"RT @1800RESPECT: When you contact 1800RESPECT, you will be answered by someone who understands #sexualassault and #domestisticviolence. We…",neutral,0.45523,0.039,0.50578,South Australia,Female,(48-53)
mental-health-availability-australia,emm_downunder, https://twitter.com/emm_downunder,2020-08-24 12:31:56,https://twitter.com/i/web/status/1297874279443251202,🇦🇺 Gus Worland talks mental health during COVID and the alarming rate of suicide in Australia.   https://t.co/bzKqduGhsl,neutral,0.41174,0.04638,0.54188,Victoria,Female,(38-43)
mental-health-availability-australia,deeedwardsEF, https://twitter.com/deeedwardsEF,2020-08-24 11:23:32,https://twitter.com/i/web/status/1297857065226924032,RT @neighbour_s: Extraordinary courage shown by the families speaking up tonight on #4Corners about the fatal gaps in mental health care in…,positive,0.91696,0.00681,0.07623,,Male,(60-100)
mental-health-availability-australia,deeedwardsEF, https://twitter.com/deeedwardsEF,2020-08-24 11:24:15,https://twitter.com/i/web/status/1297857247200964609,"RT @neighbour_s: Families who’ve suffered the tragic consequences of Australia’s broken mental health system tell their stories, in ‘Please…",positive,0.48968,0.06535,0.44497,,Male,(60-100)
mental-health-general-australia,SenSHenderson, https://twitter.com/SenSHenderson,2020-08-17 08:30:13,https://twitter.com/i/web/status/1295276733579460609,RT @SkyNewsAust: Health Minister @GregHuntMP has announced a federal funding boost of $32 million for the Victorian mental health response.…,neutral,0.37411,0.0897,0.53619,Victoria,Female,(38-43)
mental-health-general-australia,SenSHenderson, https://twitter.com/SenSHenderson,2020-08-18 01:05:53,https://twitter.com/i/web/status/1295527302458089472,So important to reach out for mental health support if you need it.   See my joint release with @GregHuntMP on this significant investment by the @ScottMorrisonMP Govt in mental health clinics including for regional Victoria.   https://t.co/FAourFbIob https://t.co/IZDn10RYkn,positive,0.82912,0.0163,0.15458,Victoria,Female,(38-43)
